Designator,Mid X,Mid Y,Layer,Rotation
U1,74.35,-34.77,T,180.00
U1,74.35,-30.77,T,180.00
U1,74.35,-38.77,T,180.00
U2,78.46,-38.77,T,180.00
U2,78.46,-34.77,T,180.00
U2,78.46,-30.77,T,180.00
U3,82.57,-38.77,T,180.00
U3,82.57,-34.77,T,180.00
U3,82.57,-30.77,T,180.00
U4,86.69,-38.77,T,180.00
U4,86.69,-30.77,T,180.00
U4,86.69,-34.77,T,180.00
U5,90.80,-30.77,T,180.00
U5,90.80,-34.77,T,180.00
U5,90.80,-38.77,T,180.00
U6,94.91,-34.77,T,180.00
U6,94.91,-38.77,T,180.00
U6,94.91,-30.77,T,180.00
U7,99.03,-30.77,T,180.00
U7,99.03,-34.77,T,180.00
U7,99.03,-38.77,T,180.00
U8,103.14,-30.77,T,180.00
U8,103.14,-34.77,T,180.00
U8,103.14,-38.77,T,180.00
U9,107.25,-34.77,T,180.00
U9,107.25,-30.77,T,180.00
U9,107.25,-38.77,T,180.00
