Designator,Mid X,Mid Y,Layer,Rotation
U1,18.70,-43.91,T,180.00
U1,18.70,-35.91,T,180.00
U1,18.70,-27.91,T,180.00
U1,18.70,-39.91,T,180.00
U1,18.70,-31.91,T,180.00
U2,22.81,-43.91,T,180.00
U2,22.81,-31.91,T,180.00
U2,22.81,-39.91,T,180.00
U2,22.81,-27.91,T,180.00
U2,22.81,-35.91,T,180.00
U3,26.93,-39.91,T,180.00
U3,26.93,-27.91,T,180.00
U3,26.93,-43.91,T,180.00
U3,26.93,-35.91,T,180.00
U3,26.93,-31.91,T,180.00
U4,31.04,-35.91,T,180.00
U4,31.04,-31.91,T,180.00
U4,31.04,-39.91,T,180.00
U4,31.04,-27.91,T,180.00
U4,31.04,-43.91,T,180.00
U5,35.15,-39.91,T,180.00
U5,35.15,-31.91,T,180.00
U5,35.15,-27.91,T,180.00
U5,35.15,-43.91,T,180.00
U5,35.15,-35.91,T,180.00
U6,39.27,-43.91,T,180.00
U6,39.27,-31.91,T,180.00
U6,39.27,-39.91,T,180.00
U6,39.27,-27.91,T,180.00
U6,39.27,-35.91,T,180.00
U7,43.38,-39.91,T,180.00
U7,43.38,-43.91,T,180.00
U7,43.38,-35.91,T,180.00
U7,43.38,-27.91,T,180.00
U7,43.38,-31.91,T,180.00
U8,47.50,-43.91,T,180.00
U8,47.50,-39.91,T,180.00
U8,47.50,-27.91,T,180.00
U8,47.50,-35.91,T,180.00
U8,47.50,-31.91,T,180.00
U9,51.61,-43.91,T,180.00
U9,51.61,-31.91,T,180.00
U9,51.61,-35.91,T,180.00
U9,51.61,-27.91,T,180.00
U9,51.61,-39.91,T,180.00
