Designator,Mid X,Mid Y,Layer,Rotation
C1,46.77,-35.35,T,0.00
C1,8.84,-35.35,T,0.00
C1,27.80,-35.35,T,0.00
C1,46.77,-50.91,T,0.00
C1,8.84,-50.91,T,0.00
C1,8.84,-19.79,T,0.00
C1,27.80,-19.79,T,0.00
C1,46.77,-19.79,T,0.00
C1,27.80,-50.91,T,0.00
C2,60.47,-18.00,T,0.00
C2,60.47,-49.12,T,0.00
C2,60.47,-33.56,T,0.00
C2,41.49,-18.00,T,0.00
C2,41.49,-33.56,T,0.00
C2,22.52,-49.12,T,0.00
C2,22.52,-33.56,T,0.00
C2,22.52,-18.00,T,0.00
C2,41.49,-49.12,T,0.00
C3,46.80,-14.72,T,0.00
C3,8.86,-45.84,T,0.00
C3,8.86,-14.72,T,0.00
C3,8.86,-30.28,T,0.00
C3,27.82,-45.84,T,0.00
C3,27.82,-30.28,T,0.00
C3,27.82,-14.72,T,0.00
C3,46.80,-30.28,T,0.00
C3,46.80,-45.84,T,0.00
C4,28.86,-36.88,T,270.00
C4,28.86,-52.44,T,270.00
C4,47.84,-52.44,T,270.00
C4,47.84,-36.88,T,270.00
C4,9.89,-21.32,T,270.00
C4,28.86,-21.32,T,270.00
C4,9.89,-52.44,T,270.00
C4,9.89,-36.88,T,270.00
C4,47.84,-21.32,T,270.00
C5,39.92,-36.32,T,0.00
C5,20.95,-20.76,T,0.00
C5,58.89,-20.76,T,0.00
C5,20.95,-51.88,T,0.00
C5,58.89,-36.32,T,0.00
C5,58.89,-51.88,T,0.00
C5,20.95,-36.32,T,0.00
C5,39.92,-51.88,T,0.00
C5,39.92,-20.76,T,0.00
C6,20.95,-37.39,T,180.00
C6,39.92,-37.39,T,180.00
C6,39.92,-21.83,T,180.00
C6,20.95,-52.95,T,180.00
C6,39.92,-52.95,T,180.00
C6,58.89,-52.95,T,180.00
C6,58.89,-37.39,T,180.00
C6,58.89,-21.83,T,180.00
C6,20.95,-21.83,T,180.00
C7,32.74,-22.33,T,180.00
C7,13.78,-22.33,T,180.00
C7,13.78,-37.89,T,180.00
C7,13.78,-53.45,T,180.00
C7,51.72,-53.45,T,180.00
C7,32.74,-37.89,T,180.00
C7,51.72,-37.89,T,180.00
C7,32.74,-53.45,T,180.00
C7,51.72,-22.33,T,180.00
C8,58.90,-55.10,T,0.00
C8,20.95,-39.54,T,0.00
C8,20.95,-55.10,T,0.00
C8,58.90,-39.54,T,0.00
C8,20.95,-23.98,T,0.00
C8,39.92,-39.54,T,0.00
C8,58.90,-23.98,T,0.00
C8,39.92,-23.98,T,0.00
C8,39.92,-55.10,T,0.00
C9,20.95,-38.45,T,0.00
C9,58.89,-22.89,T,0.00
C9,39.92,-38.45,T,0.00
C9,58.89,-54.02,T,0.00
C9,39.92,-22.89,T,0.00
C9,39.92,-54.02,T,0.00
C9,20.95,-22.89,T,0.00
C9,20.95,-54.02,T,0.00
C9,58.89,-38.45,T,0.00
C10,41.49,-34.62,T,0.00
C10,60.47,-34.62,T,0.00
C10,22.52,-19.06,T,0.00
C10,22.52,-50.18,T,0.00
C10,22.52,-34.62,T,0.00
C10,41.49,-19.06,T,0.00
C10,41.49,-50.18,T,0.00
C10,60.47,-19.06,T,0.00
C10,60.47,-50.18,T,0.00
C11,57.56,-28.24,T,0.00
C11,19.62,-28.24,T,0.00
C11,57.56,-43.80,T,0.00
C11,38.59,-28.24,T,0.00
C11,19.62,-12.68,T,0.00
C11,57.56,-12.68,T,0.00
C11,19.62,-43.80,T,0.00
C11,38.59,-43.80,T,0.00
C11,38.59,-12.68,T,0.00
C12,16.86,-12.69,T,0.00
C12,16.86,-43.80,T,0.00
C12,54.80,-28.25,T,0.00
C12,16.86,-28.25,T,0.00
C12,54.80,-43.80,T,0.00
C12,54.80,-12.69,T,0.00
C12,35.83,-43.80,T,0.00
C12,35.83,-12.69,T,0.00
C12,35.83,-28.25,T,0.00
C13,8.77,-36.88,T,270.00
C13,27.73,-36.88,T,270.00
C13,46.70,-52.45,T,270.00
C13,46.70,-36.88,T,270.00
C13,46.70,-21.32,T,270.00
C13,27.73,-21.32,T,270.00
C13,8.77,-21.32,T,270.00
C13,27.73,-52.45,T,270.00
C13,8.77,-52.45,T,270.00
C14,24.32,-17.08,T,270.00
C14,43.30,-48.20,T,270.00
