Designator,Mid X,Mid Y,Layer,Rotation
C1,18.32,-27.57,T,0.00
C1,37.29,-27.57,T,0.00
C1,18.32,-43.13,T,0.00
C1,37.29,-43.13,T,0.00
C2,50.98,-25.78,T,0.00
C2,32.01,-41.34,T,0.00
C2,32.01,-25.78,T,0.00
C2,50.98,-41.34,T,0.00
C3,37.31,-38.06,T,0.00
C3,37.31,-22.50,T,0.00
C3,18.34,-22.50,T,0.00
C3,18.34,-38.06,T,0.00
C4,19.38,-29.10,T,270.00
C4,38.35,-44.66,T,270.00
C4,38.35,-29.10,T,270.00
C4,19.38,-44.66,T,270.00
C5,49.41,-28.54,T,0.00
C5,49.41,-44.10,T,0.00
C5,30.43,-44.10,T,0.00
C5,30.43,-28.54,T,0.00
C6,30.43,-45.17,T,180.00
C6,30.43,-29.61,T,180.00
C6,49.41,-45.17,T,180.00
C6,49.41,-29.61,T,180.00
C7,23.26,-45.67,T,180.00
C7,42.23,-45.67,T,180.00
C7,42.23,-30.11,T,180.00
C7,23.26,-30.11,T,180.00
C8,30.44,-47.32,T,0.00
C8,49.41,-47.32,T,0.00
C8,30.44,-31.76,T,0.00
C8,49.41,-31.76,T,0.00
C9,30.43,-46.23,T,0.00
C9,49.41,-30.68,T,0.00
C9,30.43,-30.68,T,0.00
C9,49.41,-46.23,T,0.00
C10,50.98,-42.40,T,0.00
C10,32.01,-26.84,T,0.00
C10,32.01,-42.40,T,0.00
C10,50.98,-26.84,T,0.00
C11,29.11,-20.46,T,0.00
C11,29.11,-36.02,T,0.00
C11,48.08,-20.46,T,0.00
C11,48.08,-36.02,T,0.00
C12,45.31,-36.02,T,0.00
C12,26.34,-36.02,T,0.00
C12,45.31,-20.46,T,0.00
C12,26.34,-20.46,T,0.00
C13,18.25,-44.66,T,270.00
C13,18.25,-29.11,T,270.00
C13,37.22,-44.66,T,270.00
C13,37.22,-29.11,T,270.00
C14,52.78,-40.42,T,270.00
C14,52.78,-24.86,T,270.00
C14,33.81,-40.42,T,270.00
C14,33.81,-24.86,T,270.00
R1,39.48,-25.94,T,90.00
R1,39.48,-41.50,T,90.00
R1,20.51,-41.50,T,90.00
R1,20.51,-25.94,T,90.00
R2,20.54,-44.76,T,90.00
R2,39.51,-44.76,T,90.00
R2,20.54,-29.20,T,90.00
R2,39.51,-29.20,T,90.00
R3,24.75,-30.62,T,270.00
R3,43.73,-30.62,T,270.00
R3,24.75,-46.18,T,270.00
R3,43.73,-46.18,T,270.00
R5,52.78,-36.47,T,270.00
R5,33.81,-20.91,T,270.00
R5,33.81,-36.47,T,270.00
R5,52.78,-20.91,T,270.00
R6,52.78,-38.45,T,90.00
R6,33.81,-22.89,T,90.00
R6,52.78,-22.89,T,90.00
R6,33.81,-38.45,T,90.00
R9,26.28,-31.22,T,270.00
R9,45.25,-31.22,T,270.00
R9,45.25,-46.78,T,270.00
R9,26.28,-46.78,T,270.00
R10,46.53,-31.22,T,270.00
R10,46.53,-46.78,T,270.00
R10,27.56,-46.78,T,270.00
R10,27.56,-31.22,T,270.00
R11,47.81,-46.78,T,270.00
R11,28.84,-31.22,T,270.00
R11,28.84,-46.78,T,270.00
R11,47.81,-31.22,T,270.00
R12,22.46,-36.04,T,0.00
R12,41.43,-20.48,T,0.00
R12,22.46,-20.48,T,0.00
R12,41.43,-36.04,T,0.00
SW1,37.79,-31.30,T,0.00
SW1,18.82,-31.30,T,0.00
SW1,18.82,-46.86,T,0.00
SW1,37.79,-46.86,T,0.00
U1,44.19,-40.91,T,270.00
U1,44.19,-25.36,T,270.00
U1,25.21,-40.91,T,270.00
U1,25.21,-25.36,T,270.00
U2,31.93,-38.40,T,180.00
U2,50.91,-38.40,T,180.00
U2,50.91,-22.84,T,180.00
U2,31.93,-22.84,T,180.00
U5,36.49,-33.55,T,0.00
U5,17.52,-49.11,T,0.00
U5,36.49,-49.11,T,0.00
U5,17.52,-33.55,T,0.00
X1,37.28,-25.03,T,90.00
X1,18.31,-40.59,T,90.00
X1,18.31,-25.03,T,90.00
X1,37.28,-40.59,T,90.00
